,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
0,Vodafone Idea,4.1,15.3k, 5k-10k Employees , Public , 6 years old , Mumbai +639 more
1,BYJU'S,3.0,14.5k, 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +303 more
2,Kotak Mahindra Bank,3.8,14.2k, 50k-1 Lakh Employees , Public , 21 years old , Mumbai +563 more
3,Deloitte,3.9,13.8k, 1 Lakh+ Employees , 179 years old , London +145 more,
4,Reliance Industries,4.0,13.6k, 1 Lakh+ Employees , Public , 47 years old , Navi Mumbai +667 more
5,Bharti Airtel,4.0,12.2k, 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +650 more
6,iEnergizer,4.7,12.2k, 10k-50k Employees , 24 years old , Noida +26 more,
7,Tata Motors,4.2,11.2k, 10k-50k Employees , Public , 79 years old , Pune +453 more
8,Flipkart,4.0,9.7k, 10k-50k Employees , Public , 17 years old , Bangalore +530 more
9,WNS,3.5,9.7k, 10k-50k Employees , 28 years old , Mumbai +36 more,
10,IndusInd Bank,3.7,9.2k, 10k-50k Employees , Public , 30 years old , Gurgaon/Gurugram +677 more
11,Ernst & Young,3.6,8.9k, 50k-1 Lakh Employees , 22 years old , London +97 more,
12,AU Small Finance Bank,4.5,8.7k, 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +401 more
13,Mahindra & Mahindra,4.1,8.6k, 1 Lakh+ Employees , Public , 79 years old , Mumbai +471 more
14,Infosys BPM,3.8,8.3k, 10k-50k Employees , 22 years old , Bangalore/Bengaluru +65 more,
15,DXC Technology,3.8,8.3k, 10k-50k Employees , Public , 7 years old , Minato +81 more
16,IDFC FIRST Bank,4.0,8.1k, 10k-50k Employees , Public , 6 years old , Mumbai +572 more
17,Conneqt Business Solutions,3.8,7.7k, 10k-50k Employees , 22 years old , Mumbai +219 more,
18,HDFC Life,4.1,7.6k, 10k-50k Employees , Public , 24 years old , Mumbai +548 more
19,LTIMindtree,3.6,7.6k, 50k-1 Lakh Employees , Public , 25 years old , Bangalore/Bengaluru +49 more
20,Bajaj Finserv,4.0,7.5k, 50k-1 Lakh Employees , Public , 17 years old , Mumbai +864 more
21,Mphasis,3.4,7k, 10k-50k Employees , Public , 26 years old , Mumbai +48 more
22,PwC,3.6,6.9k, 10k-50k Employees , Conglomerate , 144 years old , Mumbai +90 more
23,HSBC Group,4.1,6.8k, 10k-50k Employees , Forbes Global 2000 , 22 years old , Mumbai +57 more
24,Startek,3.2,6.7k, 10k-50k Employees , Public , 7 years old , Mumbai +71 more
25,Hinduja Global Solutions,3.9,6.7k, 10k-50k Employees , Public , 24 years old , Mumbai +100 more
